energy_min_GeV,energy_max_GeV,E2phi,confidence_level,is_upper_limit
3.162277660168379e+07,1.000000000000000e+08,7.583000000000000e-08,0.90,True
1.000000000000000e+08,3.162277660168379e+08,1.810000000000000e-08,0.90,True
3.162277660168379e+08,1.000000000000000e+09,1.151000000000000e-08,0.90,True
1.000000000000000e+09,3.162277660168379e+09,1.487000000000000e-08,0.90,True
3.162277660168379e+09,1.000000000000000e+10,2.639000000000000e-08,0.90,True
1.000000000000000e+10,3.162277660168379e+10,5.613000000000000e-08,0.90,True
3.162277660168379e+10,1.000000000000000e+11,1.340000000000000e-07,0.90,True
1.000000000000000e+11,3.162277660168379e+11,3.468000000000000e-07,0.90,True
