energy_GeV,Ephi,confidence_level,is_upper_limit
1.000000000000000e+09,3.0371962350353715e-14,0.90,True
3.162277660168379e+09,1.1481243680974744e-15,0.90,True
1.000000000000000e+10,6.0038904945771210e-17,0.90,True
3.162277660168379e+10,7.8167335261561550e-18,0.90,True
1.000000000000000e+11,1.4278406377917197e-18,0.90,True
3.162277660168379e+11,4.8325657125050670e-19,0.90,True
1.000000000000000e+12,2.0057984927391944e-19,0.90,True
