energy_GeV,E2phi
1.000000000000e+06,2.276300661819e-08
1.000000000000e+07,1.803961242458e-09
1.000000000000e+08,8.697582027394e-10
1.000000000000e+09,1.803961242458e-09
1.000000000000e+10,1.277374757627e-08
