energy_GeV,acceptance_km2_sr
1.000000000000000e+09,0.0032
3.162277660168379e+09,0.033
1.000000000000000e+10,0.43
3.162277660168379e+10,3.1
1.000000000000000e+11,21.0
3.162277660168379e+11,68.0
1.000000000000000e+12,167.0
