# Allard et al. 2026 FRII Model 2 diffuse cosmogenic neutrino curve extracted from the vector PDF Figure 4 top-left panel.
# Quantity: all-flavor E2phi; Energy in GeV; FluxE2 in GeV cm^-2 s^-1 sr^-1.
# Source: arXiv:2608.16540v1, Figure 4 top-left.
# Source PDF SHA256: 7e4c321c2cd6ae3a7803dd4523bbebc55f05c68479e3eac969e5100e2f27b726
# Vector extraction from uploaded arXiv PDF; no extrapolation beyond plotted support.
Energy,FluxE2
9.999999999899e+06,1.354932986128e-10
1.121924195015e+07,1.394605709846e-10
1.412460761439e+07,1.515329463312e-10
1.778235468217e+07,1.515329463312e-10
2.238732201888e+07,1.657279041979e-10
2.817923348528e+07,1.789740307984e-10
3.547660495689e+07,2.020691034724e-10
4.466372387134e+07,2.333438379921e-10
5.622996411577e+07,2.773488589093e-10
7.079142983421e+07,3.349731633829e-10
8.912377236498e+07,4.176523907921e-10
1.122035088791e+08,5.076281521653e-10
1.412600368055e+08,6.209026618404e-10
1.778059723233e+08,7.403330127599e-10
2.238510945500e+08,8.632369646667e-10
2.818201870064e+08,9.872336762592e-10
3.548011155272e+08,1.083133731558e-09
4.466813840198e+08,1.147264300781e-09
5.623552202520e+08,1.173410602754e-09
7.079842680869e+08,1.140030275740e-09
8.911496416365e+08,1.083133731558e-09
1.121924196818e+09,9.746303346708e-10
1.412460759193e+09,8.440020486879e-10
1.778235471076e+09,6.967422843668e-10
2.238732198327e+09,5.569392395768e-10
2.818480428143e+09,4.243933365547e-10
3.548361838167e+09,3.092018527659e-10
4.467255351183e+09,2.189111294340e-10
5.622996420616e+09,1.481857309293e-10
7.079142972161e+09,9.840514333445e-11
8.912377250824e+09,6.370228071755e-11
1.122035087006e+10,3.930351647772e-11
1.412600370326e+10,2.394020131104e-11
1.778411230603e+10,1.376711011470e-11
2.238953480183e+10,7.943596399684e-12
2.818201874595e+10,4.509746407062e-12
3.548011149629e+10,2.371256522665e-12
4.466813847379e+10,1.188349535359e-12
