# Model: Local min.
# Energy-squared per-flavour neutrino fluxes, assuming neutrino equipartition
# Energy in [GeV], FluxE2 in [GeV cm^-2 sr^-1 s^-1]
Energy,FluxE2
3.594e+06,2.311e-11
3.652e+06,2.336e-11
3.712e+06,2.361e-11
3.772e+06,2.386e-11
3.833e+06,2.412e-11
3.896e+06,2.437e-11
3.959e+06,2.462e-11
4.024e+06,2.488e-11
4.089e+06,2.514e-11
4.155e+06,2.540e-11
4.223e+06,2.566e-11
4.292e+06,2.592e-11
4.362e+06,2.618e-11
4.432e+06,2.645e-11
4.505e+06,2.671e-11
4.578e+06,2.698e-11
4.652e+06,2.725e-11
4.728e+06,2.752e-11
4.805e+06,2.779e-11
4.883e+06,2.806e-11
4.962e+06,2.834e-11
5.043e+06,2.862e-11
5.125e+06,2.890e-11
5.209e+06,2.918e-11
5.293e+06,2.946e-11
5.379e+06,2.974e-11
5.467e+06,3.003e-11
5.556e+06,3.032e-11
5.646e+06,3.060e-11
5.738e+06,3.090e-11
5.831e+06,3.119e-11
5.926e+06,3.148e-11
6.023e+06,3.178e-11
6.120e+06,3.208e-11
6.220e+06,3.239e-11
6.321e+06,3.270e-11
6.424e+06,3.301e-11
6.529e+06,3.332e-11
6.635e+06,3.364e-11
6.743e+06,3.396e-11
6.852e+06,3.429e-11
6.964e+06,3.462e-11
7.077e+06,3.496e-11
7.192e+06,3.530e-11
7.309e+06,3.565e-11
7.428e+06,3.600e-11
7.549e+06,3.636e-11
7.672e+06,3.673e-11
7.796e+06,3.710e-11
7.923e+06,3.747e-11
8.052e+06,3.786e-11
8.183e+06,3.825e-11
8.316e+06,3.864e-11
8.451e+06,3.905e-11
8.589e+06,3.946e-11
8.729e+06,3.987e-11
8.870e+06,4.030e-11
9.015e+06,4.073e-11
9.161e+06,4.117e-11
9.310e+06,4.161e-11
9.462e+06,4.207e-11
9.616e+06,4.253e-11
9.772e+06,4.300e-11
9.931e+06,4.347e-11
1.009e+07,4.395e-11
1.026e+07,4.445e-11
1.042e+07,4.494e-11
1.059e+07,4.545e-11
1.077e+07,4.597e-11
1.094e+07,4.649e-11
1.112e+07,4.702e-11
1.130e+07,4.756e-11
1.148e+07,4.812e-11
1.167e+07,4.868e-11
1.186e+07,4.925e-11
1.205e+07,4.984e-11
1.225e+07,5.044e-11
1.245e+07,5.105e-11
1.265e+07,5.168e-11
