# Allard et al. 2026 FRII Model 1 diffuse cosmogenic neutrino curve extracted from the vector PDF Figure 4 top-left panel.
# Quantity: all-flavor E2phi; Energy in GeV; FluxE2 in GeV cm^-2 s^-1 sr^-1.
# Source: arXiv:2608.16540v1, Figure 4 top-left.
# Source PDF SHA256: 7e4c321c2cd6ae3a7803dd4523bbebc55f05c68479e3eac969e5100e2f27b726
# Vector extraction from uploaded arXiv PDF; no extrapolation beyond plotted support.
Energy,FluxE2
9.999999999899e+06,1.147415497830e-10
1.121924195015e+07,1.162253198414e-10
1.412460761439e+07,1.219201979636e-10
1.778235468217e+07,1.143792288097e-10
2.238732201888e+07,1.169628238288e-10
2.817923348528e+07,1.143792288097e-10
3.547660495689e+07,1.151050188546e-10
4.466372387134e+07,1.180778640993e-10
5.622996411577e+07,1.231068301317e-10
7.079142983421e+07,1.312232063857e-10
8.912377236498e+07,1.486551413181e-10
1.122035088791e+08,1.620671359828e-10
1.412600368055e+08,1.830166915099e-10
1.778059723233e+08,2.001609118777e-10
2.238510945500e+08,2.147537263017e-10
2.818201870064e+08,2.267506606204e-10
3.548011155272e+08,2.274689424354e-10
4.466813840198e+08,2.196045778365e-10
5.623552202520e+08,2.046821413031e-10
7.079842680869e+08,1.778103664628e-10
8.911496416365e+08,1.515329463312e-10
1.121924196818e+09,1.211514354697e-10
1.412460759193e+09,9.319871981008e-11
1.778235471076e+09,6.747398834506e-11
2.238732198327e+09,4.792208259075e-11
2.818480428143e+09,3.203170370066e-11
3.548361838167e+09,2.040223701572e-11
4.467255351183e+09,1.254817791882e-11
5.622996420616e+09,7.309298437723e-12
7.079142972161e+09,4.123476752911e-12
8.912377250824e+09,2.260048619395e-12
1.122035087006e+10,1.132841864561e-12
