# Project MAHAM independent digitization
# Source: Figure 7 right panel, ICRC 2023 Telescope Array highlights
# Dataset shown: combined 14-year TA SD + 3-year TAx4 SD spectrum
# Digitized from the user-supplied high-resolution raster figure
# scaled_E3J means E^3 J / 1e24 in m^-2 s^-1 sr^-1 eV^2
# Vertical errors are included only where visually resolvable in the raster; NaN means unresolved, not zero
# Final point is digitized as an upper limit from the horizontal cap and downward arrow
log10_energy_eV,energy_eV,log10_energy_err_lower,log10_energy_err_upper,scaled_E3J,scaled_E3J_err_lower,scaled_E3J_err_upper,E3J_eV2_m-2_s-1_sr-1,E3J_err_lower_eV2_m-2_s-1_sr-1,E3J_err_upper_eV2_m-2_s-1_sr-1,is_upper_limit
18.44960387828612,2.8158134450480763e+18,0.05,0.05,1.652875551458479,,,1.652875551458479e+24,,,False
18.55117032454173,3.557708198137643e+18,0.05,0.05,1.5512185097007583,,,1.5512185097007582e+24,,,False
18.649792815833408,4.4647054846693796e+18,0.05,0.05,1.5027591793761108,,,1.5027591793761108e+24,,,False
18.74988728460705,5.621953958693779e+18,0.05,0.05,1.5027591793761108,,,1.5027591793761108e+24,,,False
18.85145373086266,7.103194895092114e+18,0.05,0.05,1.6216980801388652,,,1.6216980801388652e+24,,,False
18.950076222154337,8.91407373527556e+18,0.05,0.05,1.717040196996347,,,1.717040196996347e+24,,,False
19.05017069092798,1.1224595283205376e+19,0.05,0.05,1.968112384503842,,,1.968112384503842e+24,,,False
19.151737137183588,1.4181988771331668e+19,0.05,0.05,2.137406988528457,,,2.1374069885284569e+24,,,False
19.250359628475266,1.7797525689158375e+19,0.05,0.05,2.358393940251885,,,2.3583939402518852e+24,,,False
19.35045409724891,2.24106316411436e+19,0.05,0.05,2.2919815661075345,0.10655741983547617,0.10413611958671165,2.2919815661075344e+24,1.0655741983547617e+23,1.0413611958671165e+23,False
19.44907658854059,2.812396757426476e+19,0.05,0.05,2.1854241462720583,0.12135007945738607,0.13583995967075335,2.1854241462720584e+24,1.2135007945738607e+23,1.3583995967075335e+23,False
19.549171057314233,3.541367989024768e+19,0.05,0.05,2.512948150226849,0.17690277815101618,0.17319444896504743,2.5129481502268487e+24,1.769027781510162e+23,1.7319444896504742e+23,False
19.65073750356984,4.474427789004474e+19,0.05,0.05,2.746487181950094,0.22555079573188053,0.2457310595947071,2.746487181950094e+24,2.255507957318805e+23,2.457310595947071e+23,False
19.749359994861518,5.615132320515421e+19,0.05,0.05,2.871273751725458,0.31001366856799484,0.30693255348693427,2.8712737517254577e+24,3.1001366856799487e+23,3.0693255348693427e+23,False
19.849454463635162,7.070570609037382e+19,0.05,0.05,2.643852790039873,0.34458540323752196,0.33888383761661434,2.643852790039873e+24,3.44585403237522e+23,3.388838376166143e+23,False
19.951020909890772,8.933484945716591e+19,0.05,0.05,1.711599313055265,0.3496521348282322,0.3459342036529036,1.711599313055265e+24,3.496521348282322e+23,3.459342036529036e+23,False
20.04964340118245,1.1210975440658973e+20,0.05,0.05,1.2904113172602152,0.3419331203551985,0.45963932240243466,1.2904113172602153e+24,3.419331203551985e+23,4.5963932240243466e+23,False
20.149737869956095,1.411685227073814e+20,0.05,0.05,0.5059554681936089,0.32095512701325213,0.3898565655986964,5.059554681936089e+23,3.209551270132521e+23,3.898565655986964e+23,False
20.2513043162117,1.7836281428312156e+20,0.05,0.05,1.0498683324599407,0.4377803867394585,0.728175283149223,1.0498683324599407e+24,4.377803867394585e+23,7.28175283149223e+23,False
20.34992680750338,2.238343874317119e+20,0.05,0.05,0.4155794303862695,0.26119408517307363,0.7282217117608196,4.1557943038626946e+23,2.611940851730736e+23,7.282217117608196e+23,False
20.449285287536043,2.8137485715811274e+20,0.05,0.05,1.1168962538478597,,,1.1168962538478597e+24,,,True
